state,pop_total
Alabama,3061743
Arizona,749587
Arkansas,1909511
California,10586223
Colorado,1325089
Connecticut,2007280
Delaware,318085
Florida,2771305
Georgia,3444578
Idaho,588637
Illinois,8712176
Indiana,3934224
Iowa,2621073
Kansas,1905299
Kentucky,2944806
Louisiana,2683516
Maine,913774
Maryland,2343001
Massachusetts,4690514
Michigan,6371766
Minnesota,2982483
Mississippi,2178914
Missouri,3954653
Montana,591024
Nebraska,1325510
Nevada,160083
New Hampshire,533242
New Jersey,4835329
New Mexico,681187
New York,14830192
North Carolina,4061929
North Dakota,619636
Ohio,7946627
Oklahoma,2233351
Oregon,1521341
Pennsylvania,10498012
Rhode Island,791896
South Carolina,2117027
South Dakota,652740
Tennessee,3291718
Texas,7711194
Utah,688862
Vermont,377747
Virginia,3318680
Washington,2378963
West Virginia,2005552
Wisconsin,3434575
Wyoming,290529
