entity,1980
Alabama,7
Alaska,1
Arizona,5
Arkansas,4
California,45
Colorado,6
Connecticut,6
Delaware,1
Florida,19
Georgia,10
Hawaii,2
Idaho,2
Illinois,22
Indiana,10
Iowa,6
Kansas,5
Kentucky,7
Louisiana,8
Maine,2
Maryland,8
Massachusetts,11
Michigan,18
Minnesota,8
Mississippi,5
Missouri,9
Montana,2
Nebraska,3
Nevada,2
New Hampshire,2
New Jersey,14
New Mexico,3
New York,34
North Carolina,11
North Dakota,1
Ohio,21
Oklahoma,6
Oregon,5
Pennsylvania,23
Rhode Island,2
South Carolina,6
South Dakota,1
Tennessee,9
Texas,27
Utah,3
Vermont,1
Virginia,10
Washington,8
West Virginia,4
Wisconsin,9
Wyoming,1
