house_seat,state,state_seat,priority_value
51,California,2,21099536
52,New York,2,12759392
53,California,3,12181823
54,Texas,2,12063104
55,Florida,2,9194765
56,California,4,8613850
57,Pennsylvania,2,8432043
58,Illinois,2,8108169
59,Ohio,2,7698501
60,New York,3,7366638
61,Texas,3,6964636
62,California,5,6672259
63,Michigan,2,6596446
64,New Jersey,2,5479112
65,California,6,5447877
66,Florida,3,5308600
67,New York,4,5209000
68,Texas,4,4924742
69,Pennsylvania,3,4868242
70,North Carolina,2,4707655
71,Illinois,3,4681253
72,California,7,4604296
73,Georgia,2,4602147
74,Ohio,3,4444732
75,Virginia,2,4395777
76,Massachusetts,2,4263183
77,New York,5,4034874
78,California,8,3987438
79,Indiana,2,3934503
80,Texas,5,3814688
81,Michigan,3,3808460
82,Florida,4,3753747
83,Missouri,2,3632976
84,California,9,3516589
85,Wisconsin,2,3469593
86,Tennessee,2,3462448
87,Washington,2,3456296
88,Pennsylvania,4,3442367
89,Maryland,2,3393138
90,Illinois,4,3310146
91,New York,6,3294461
92,New Jersey,3,3163367
93,California,10,3145333
94,Ohio,4,3142900
95,Texas,6,3114680
96,Minnesota,2,3102098
97,Louisiana,2,2996871
98,Florida,5,2907640
99,Alabama,2,2872698
100,California,11,2845061
101,New York,7,2784328
102,North Carolina,3,2717966
103,Michigan,4,2692988
104,Pennsylvania,5,2666446
105,Georgia,3,2657051
106,Texas,7,2632385
107,Kentucky,2,2615566
108,Arizona,2,2600728
109,California,12,2597173
110,Illinois,5,2564028
111,Virginia,3,2537903
112,South Carolina,2,2478909
113,Massachusetts,3,2461350
114,Ohio,5,2434480
115,New York,8,2411298
116,California,13,2389052
117,Florida,6,2374078
118,Colorado,2,2339047
119,Connecticut,2,2330390
120,Texas,8,2279712
121,Indiana,3,2271587
122,New Jersey,4,2236838
123,Oklahoma,2,2232763
124,California,14,2211832
125,Pennsylvania,6,2177144
126,New York,9,2126565
127,Missouri,3,2097500
128,Illinois,6,2093520
129,Michigan,5,2085980
130,California,15,2059104
131,Oregon,2,2017894
132,Texas,9,2010517
133,Florida,7,2006462
134,Wisconsin,3,2003170
135,Tennessee,3,1999045
136,Washington,3,1995494
137,Ohio,6,1987744
138,Iowa,2,1971006
139,Maryland,3,1959029
140,California,16,1926115
141,North Carolina,4,1921892
142,New York,10,1902058
143,Georgia,4,1878819
144,Pennsylvania,7,1840023
145,Mississippi,2,1828891
146,California,17,1809270
147,Texas,10,1798261
148,Virginia,4,1794569
149,Minnesota,3,1790997
150,Illinois,7,1769347
151,Kansas,2,1757585
152,Massachusetts,4,1740437
153,Florida,8,1737647
154,New Jersey,5,1732647
155,Louisiana,3,1730244
156,New York,11,1720476
157,California,18,1705797
158,Michigan,6,1703195
159,Ohio,7,1679951
160,Arkansas,2,1670355
161,Alabama,3,1658553
162,Texas,11,1626589
163,California,19,1613522
164,Indiana,4,1606254
165,Pennsylvania,8,1593506
166,New York,12,1570573
167,Florida,9,1532461
