1990 Census Ranking of Priority Values

Source:  U.S. Census Bureau
Internet Release date:  October 17, 2000

House Seat   State  State Seat    Priority Value
        51    CA        2               21099536
        52    NY        2               12759392
        53    CA        3               12181823
        54    TX        2               12063104
        55    FL        2                9194765
        56    CA        4                8613850
        57    PA        2                8432043
        58    IL        2                8108169
        59    OH        2                7698501
        60    NY        3                7366638
        61    TX        3                6964636
        62    CA        5                6672259
        63    MI        2                6596446
        64    NJ        2                5479112
        65    CA        6                5447877
        66    FL        3                5308600
        67    NY        4                5209000
        68    TX        4                4924742
        69    PA        3                4868242
        70    NC        2                4707655
        71    IL        3                4681253
        72    CA        7                4604296
        73    GA        2                4602147
        74    OH        3                4444732
        75    VA        2                4395777
        76    MA        2                4263183
        77    NY        5                4034874
        78    CA        8                3987438
        79    IN        2                3934503
        80    TX        5                3814688
        81    MI        3                3808460
        82    FL        4                3753747
        83    MO        2                3632976
        84    CA        9                3516589
        85    WI        2                3469593
        86    TN        2                3462448
        87    WA        2                3456296
        88    PA        4                3442367
        89    MD        2                3393138
        90    IL        4                3310146
        91    NY        6                3294461
        92    NJ        3                3163367
        93    CA        10               3145333
        94    OH        4                3142900
        95    TX        6                3114680
        96    MN        2                3102098
        97    LA        2                2996871
        98    FL        5                2907640
        99    AL        2                2872698
       100    CA        11               2845061
       101    NY        7                2784328
       102    NC        3                2717966
       103    MI        4                2692988
       104    PA        5                2666446
       105    GA        3                2657051
       106    TX        7                2632385
       107    KY        2                2615566
       108    AZ        2                2600728
       109    CA        12               2597173
       110    IL        5                2564028
       111    VA        3                2537903
       112    SC        2                2478909
       113    MA        3                2461350
       114    OH        5                2434480
       115    NY        8                2411298
       116    CA        13               2389052
       117    FL        6                2374078
       118    CO        2                2339047
       119    CT        2                2330390
       120    TX        8                2279712
       121    IN        3                2271587
       122    NJ        4                2236838
       123    OK        2                2232763
       124    CA        14               2211832
       125    PA        6                2177144
       126    NY        9                2126565
       127    MO        3                2097500
       128    IL        6                2093520
       129    MI        5                2085980
       130    CA        15               2059104
       131    OR        2                2017894
       132    TX        9                2010517
       133    FL        7                2006462
       134    WI        3                2003170
       135    TN        3                1999045
       136    WA        3                1995494
       137    OH        6                1987744
       138    IA        2                1971006
       139    MD        3                1959029
       140    CA        16               1926115
       141    NC        4                1921892
       142    NY        10               1902058
       143    GA        4                1878819
       144    PA        7                1840023
       145    MS        2                1828891
       146    CA        17               1809270
       147    TX        10               1798261
       148    VA        4                1794569
       149    MN        3                1790997
       150    IL        7                1769347
       151    KS        2                1757585
       152    MA        4                1740437
       153    FL        8                1737647
       154    NJ        5                1732647
       155    LA        3                1730244
       156    NY        11               1720476
       157    CA        18               1705797
       158    MI        6                1703195
       159    OH        7                1679951
       160    AR        2                1670355
       161    AL        3                1658553
       162    TX        11               1626589
       163    CA        19               1613522
       164    IN        4                1606254
       165    PA        8                1593506
       166    NY        12               1570573
       167    FL        9                1532461
       168    IL        8                1532300
       169    CA        20               1530721
       170    KY        3                1510098
       171    AZ        3                1501531
       172    NC        5                1488691
       173    TX        12               1484865
       174    MO        4                1483156
       175    CA        21               1456006
       176    GA        5                1455327
       177    OH        8                1454880
       178    NY        13               1444717
       179    MI        7                1439463
       180    SC        3                1431199
       181    WI        4                1416455
       182    NJ        6                1414701
       183    TN        4                1413538
       184    WA        4                1411027
       185    PA        9                1405341
       186    VA        5                1390067
       187    CA        22               1388248
       188    MD        4                1385243
       189    FL        10               1370675
       190    TX        13               1365878
       191    IL        9                1351361
       192    CO        3                1350449
       193    MA        5                1348137
       194    CT        3                1345451
       195    NY        14               1337548
       196    CA        23               1326516
       197    OK        3                1289086
       198    OH        9                1283084
       199    WV        2                1273941
       200    CA        24               1270043
       201    MN        4                1266426
       202    TX        14               1264557
       203    PA        10               1256975
       204    MI        8                1246611
       205    NY        15               1245189
       206    IN        5                1244199
       207    FL        11               1239822
       208    LA        4                1223468
       209    UT        2                1221728
       210    CA        25               1218182
       211    NC        6                1215511
       212    IL        10               1208694
       213    NJ        7                1195640
       214    GA        6                1188269
       215    TX        15               1177238
       216    AL        4                1172774
       217    CA        26               1170392
       218    OR        3                1165032
       219    NY        16               1164768
       220    MO        5                1148848
       221    OH        10               1147625
       222    IA        3                1137961
       223    PA        11               1136976
       224    VA        6                1134985
       225    FL        12               1131797
       226    CA        27               1126210
       227    NE        2                1120493
       228    TX        16               1101206
       229    MA        6                1100749
       230    MI        9                1099408
       231    WI        5                1097182
       232    TN        5                1094922
       233    NY        17               1094109
       234    IL        11               1093305
       235    WA        5                1092977
       236    CA        28               1085243
       237    NM        2                1076060
       238    MD        5                1073004
       239    KY        4                1067800
       240    AZ        4                1061743
       241    MS        3                1055911
       242    CA        29               1047152
       243    FL        13               1041102
       244    OH        11               1038066
       245    PA        12               1037913
       246    NJ        8                1035455
       247    TX        17               1034403
       248    NY        18               1031536
       249    NC        7                1027295
       250    IN        6                1015884
       251    KS        3                1014742
       252    SC        4                1012010
       253    CA        30               1011645
       254    GA        7                1004271
       255    IL        12                998047
       256    MI        10                983340
       257    MN        5                 980970
       258    CA        31                978468
       259    NY        19                975735
       260    TX        18                975244
       261    AR        3                 964380
       262    FL        14                963873
       263    VA        7                 959237
       264    CO        4                 954912
       265    PA        13                954741
       266    CT        4                 951378
       267    LA        5                 947694
       268    OH        12                947620
       269    CA        32                947397
       270    MO        6                 938030
       271    MA        7                 930303
       272    NY        20                925664
       273    TX        19                922489
       274    CA        33                918239
       275    IL        13                918069
       276    NJ        9                 913185
       277    OK        4                 911522
       278    AL        5                 908427
       279    FL        15                897317
       280    WI        6                 895845
       281    TN        6                 894000
       282    WA        6                 892412
       283    CA        34                890823
       284    NC        8                 889663
       285    MI        11                889465
       286    PA        14                883918
       287    NY        21                880482
       288    MD        6                 876105
       289    TX        20                875150
       290    ME        2                 872020
       291    OH        13                871684
       292    GA        8                 869724
       293    CA        35                864997
       294    IN        7                 858579
       295    NV        2                 852878
       296    IL        14                849967
       297    CA        36                840626
       298    NY        22                839506
       299    FL        16                839363
       300    TX        21                832433
       301    VA        8                 830724
       302    KY        5                 827115
       303    OR        4                 823802
       304    PA        15                822883
       305    AZ        5                 822422
       306    CA        37                817590
       307    NJ        10                816778
       308    MI        12                811966
       309    OH        14                807022
       310    MA        8                 805666
       311    IA        4                 804660
       312    NY        23                802176
       313    MN        6                 800958
       314    CA        38                795784
       315    TX        22                793694
       316    MO        7                 792780
       317    IL        15                791276
       318    HI        2                 788618
       319    FL        17                788445
       320    NH        2                 787657
       321    NC        9                 784609
       322    SC        5                 783900
       323    CA        39                775111
       324    LA        6                 773789
       325    PA        16                769737
       326    NY        24                768025
       327    GA        9                 767025
       328    TX        23                758401
       329    WI        7                 757127
       330    TN        7                 755568
       331    CA        40                755485
       332    WA        7                 754226
       333    OH        15                751297
       334    MI        13                746900
       335    MS        4                 746642
       336    IN        8                 743551
       337    FL        18                743353
       338    AL        6                 741727
       339    MD        7                 740443
       340    IL        16                740171
       341    CO        5                 739672
       342    NJ        11                738803
       343    CT        5                 736934
       344    CA        41                736828
       345    NY        25                736664
       346    WV        3                 735510
       347    VA        9                 732630
       348    TX        24                726114
       349    PA        17                723042
       350    CA        42                719070
       351    KS        4                 717531
       352    ID        2                 715582
       353    RI        2                 711338
       354    MA        9                 710530
       355    NY        26                707764
       356    OK        5                 706062
       357    UT        3                 705365
       358    FL        19                703141
       359    OH        16                702774
       360    CA        43                702149
       361    NC        10                701776
       362    TX        25                696464
       363    IL        17                695270
       364    MI        14                691495
       365    MO        8                 686568
       366    GA        10                686048
       367    CA        44                686005
       368    AR        4                 681920
       369    PA        18                681690
       370    NY        27                681046
       371    MN        7                 676933
       372    KY        6                 675336
       373    NJ        12                674432
       374    AZ        6                 671505
       375    CA        45                670587
       376    TX        26                669141
       377    FL        20                667058
       378    OH        17                660141
       379    NY        28                656272
