51		CA		2		23992697
52		TX		2		14781356
53		CA		3		13852190
54		NY		2		13438545
55		FL		2		11334137
56		CA		4		9794978
57		IL		2		8795731
58		PA		2		8697887
59		TX		3		8534020
60		OH		2		8043014
61		NY		3		7758748
62		CA		5		7587157
63		MI		2		7039834
64		FL		3		6543767
65		CA		6		6194888
66		TX		4		6034463
67		NJ		2		5956918
68		GA		2		5803208
69		NC		2		5704706
70		NY		4		5486263
71		CA		7		5235636
72		IL		3		5078218
73		PA		3		5021727
74		VA		2		5020955
75		TX		5		4674275
76		OH		3		4643637
77		FL		4		4627142
78		CA		8		4534194
79		MA		2		4494065
80		IN		2		4306833
81		NY		5		4249641
82		WA		2		4178071
83		MI		3		4064450
84		TN		2		4030535
85		CA		9		3998783
86		MO		2		3964224
87		TX		6		3816530
88		WI		2		3798019
89		MD		2		3753242
90		AZ		2		3635012
91		IL		4		3590842
92		FL		5		3584169
93		CA		10		3576620
94		PA		4		3550898
95		MN		2		3482975
96		NY		6		3469817
97		NJ		3		3439228
98		GA		3		3350484
99		NC		3		3293614
100		OH		4		3283547
101		CA		11		3235175
102		TX		7		3225556
103		LA		2		3168030
104		AL		2		3154495
105		CO		2		3048961
106		CA		12		2953297
107		NY		7		2932531
108		FL		6		2926462
109		VA		3		2898849
110		MI		4		2874000
111		KY		2		2863380
112		SC		2		2846148
113		TX		8		2793414
114		IL		5		2781454
115		PA		5		2750513
116		CA		13		2716638
117		MA		3		2594650
118		OH		5		2543424
119		NY		8		2539646
120		CA		14		2515118
121		IN		3		2486551
122		FL		7		2473311
123		TX		9		2463559
124		OK		2		2445754
125		NJ		4		2431902
126		OR		2		2424346
127		WA		3		2412210
128		CT		2		2410905
129		GA		4		2369150
130		CA		15		2341448
131		NC		4		2328937
132		TN		3		2327030
133		MO		3		2288746
134		IL		6		2271048
135		PA		6		2245785
136		NY		9		2239758
137		MI		5		2226191
138		TX		10		2203474
139		WI		3		2192787
140		CA		16		2190224
141		MD		3		2166935
142		FL		8		2141951
143		AZ		3		2098675
144		OH		6		2076697
145		IA		2		2073183
146		CA		17		2057357
147		VA		4		2049796
148		MS		2		2017324
149		MN		3		2010896
150		NY		10		2003300
151		TX		11		1993118
152		CA		18		1939695
153		IL		7		1919386
154		KS		2		1904821
155		PA		7		1898035
156		AR		2		1894857
157		FL		9		1889023
158		NJ		5		1883743
159		GA		5		1835135
160		CA		19		1834767
161		MA		4		1834694
162		LA		3		1829063
163		AL		3		1821249
164		TX		12		1819459
165		MI		6		1817677
166		NY		11		1812053
167		NC		5		1803987
168		CO		3		1760318
169		IN		4		1758257
170		OH		7		1755130
171		CA		20		1740613
172		WA		4		1705690
173		FL		10		1689593
174		TX		13		1673659
175		IL		8		1662237
176		CA		21		1655653
177		NY		12		1654171
178		KY		3		1653173
179		TN		4		1645459
180		PA		8		1643746
181		SC		3		1643224
182		MO		4		1618388
183		VA		5		1587765
184		UT		2		1581596	
185		CA		22		1578604
186		WI		4		1550535
187		TX		14		1549507
188		NJ		6		1538070
189		MI		7		1536218
190		MD		4		1532255
