state,pop_resident,pop_overseas,pop_total
Alabama,4779736,23246,4802982
Alaska,710231,11292,721523
Arizona,6392017,20683,6412700
Arkansas,2915918,10311,2926229
California,37253956,88033,37341989
Colorado,5029196,15734,5044930
Connecticut,3574097,7531,3581628
Delaware,897934,2943,900877
Florida,18801310,99463,18900773
Georgia,9687653,39913,9727566
Hawaii,1360301,6561,1366862
Idaho,1567582,5917,1573499
Illinois,12830632,33748,12864380
Indiana,6483802,17780,6501582
Iowa,3046355,7432,3053787
Kansas,2853118,10695,2863813
Kentucky,4339367,11239,4350606
Louisiana,4533372,20590,4553962
Maine,1328361,4713,1333074
Maryland,5773552,16377,5789929
Massachusetts,6547629,12015,6559644
Michigan,9883640,27986,9911626
Minnesota,5303925,10954,5314879
Mississippi,2967297,10943,2978240
Missouri,5988927,22551,6011478
Montana,989415,5001,994416
Nebraska,1826341,5484,1831825
Nevada,2700551,8881,2709432
New Hampshire,1316470,4975,1321445
New Jersey,8791894,15607,8807501
New Mexico,2059179,8094,2067273
New York,19378102,42953,19421055
North Carolina,9535483,30298,9565781
North Dakota,672591,3314,675905
Ohio,11536504,31991,11568495
Oklahoma,3751351,13531,3764882
Oregon,3831074,17532,3848606
Pennsylvania,12702379,32526,12734905
Rhode Island,1052567,2680,1055247
South Carolina,4625364,20611,4645975
South Dakota,814180,5581,819761
Tennessee,6346105,29326,6375431
Texas,25145561,122857,25268418
Utah,2763885,6880,2770765
Vermont,625741,4596,630337
Virginia,8001024,36712,8037736
Washington,6724540,28829,6753369
West Virginia,1852994,6821,1859815
Wisconsin,5686986,11244,5698230
Wyoming,563626,4674,568300
