51	CA	2	26404774
52	TX	2	17867470
53	CA	3	15244803
54	NY	2	13732760
55	FL	2	13364865
56	CA	4	10779704
57	TX	3	10315788
58	IL	2	9096490
59	PA	2	9004938
60	CA	5	8349923
61	OH	2	8180161
62	NY	3	7928613
63	FL	3	7716208
64	TX	4	7294364
65	MI	2	7008578
66	GA	2	6878428
67	CA	6	6817683
68	NC	2	6764029
69	NJ	2	6227844
70	CA	7	5761994
71	VA	2	5683538
72	TX	5	5650190
73	NY	4	5606376
74	FL	4	5456183
75	IL	3	5251861
76	PA	3	5199003
77	CA	8	4990033
78	WA	2	4775353
79	OH	3	4722818
80	MA	2	4638369
81	TX	6	4613361
82	IN	2	4597313
83	AZ	2	4534464
84	TN	2	4508110
85	CA	9	4400796
86	NY	5	4342680
87	MO	2	4250757
88	FL	5	4226341
89	MD	2	4094098
90	MI	3	4046404
91	WI	2	4029257
92	GA	3	3971262
93	CA	10	3936191
94	NC	3	3905214
95	TX	7	3899002
96	MN	2	3758187
97	IL	4	3713627
98	PA	4	3676250
99	NJ	3	3595647
100	CO	2	3567304
101	CA	11	3560419
102	NY	6	3545783
103	FL	6	3450793
104	AL	2	3396221
105	TX	8	3376634
106	OH	4	3339537
107	SC	2	3285200
108	VA	3	3281392
109	CA	12	3250203
110	LA	2	3220137
111	KY	2	3076343
112	NY	7	2996734
113	CA	13	2989752
114	TX	9	2977912
115	FL	7	2916453
116	IL	5	2876563
117	MI	4	2861240
118	PA	5	2847611
119	GA	4	2808106
120	CA	14	2767972
121	NC	4	2761403
122	WA	3	2757051
123	OR	2	2721375
124	MA	3	2677963
125	TX	10	2663525
126	OK	2	2662174
127	IN	3	2654260
128	AZ	3	2617974
129	TN	3	2602759
130	NY	8	2595248
131	OH	5	2586794
132	CA	15	2576842
133	NJ	4	2542507
134	CT	2	2532593
135	FL	8	2525722
136	MO	3	2454176
137	CA	16	2410415
138	TX	11	2409249
139	MD	3	2363729
140	IL	6	2348704
141	WI	3	2326293
142	PA	6	2325065
143	VA	4	2320295
144	NY	9	2288793
145	CA	17	2264191
146	FL	9	2227477
147	MI	5	2216307
148	TX	12	2199333
149	GA	5	2175150
150	MN	3	2169790
151	IA	2	2159353
152	NC	5	2138974
153	CA	18	2134699
154	OH	6	2112109
155	MS	2	2105934
156	AR	2	2069156
157	CO	3	2059584
158	NY	10	2047159
159	KS	2	2025022
160	TX	13	2023093
161	CA	19	2019224
162	FL	10	1992316
163	IL	7	1985017
164	NJ	5	1969417
165	PA	7	1965039
166	AL	3	1960809
167	UT	2	1959227
168	WA	4	1949530
169	NV	2	1915858
170	CA	20	1915604
171	SC	3	1896711
172	MA	4	1893606
173	IN	4	1876845
174	TX	14	1873020
175	LA	3	1859147
176	NY	11	1851725
177	AZ	4	1851187
178	TN	4	1840428
179	CA	21	1822102
180	MI	6	1809607
181	FL	11	1802118
182	VA	5	1797292
183	OH	7	1785058
184	KY	3	1776127
185	GA	6	1776002
186	NC	6	1746465
187	TX	15	1743687
188	CA	22	1737307
189	MO	4	1735364
190	IL	8	1719075
191	PA	8	1701773
192	NY	12	1690386
193	MD	4	1671409
194	CA	23	1660054
195	FL	12	1645101
196	WI	4	1644937
197	TX	16	1631069
198	NJ	6	1608022
199	CA	24	1589381
200	OR	3	1571187
201	NY	13	1554929
202	OH	8	1545905
203	OK	3	1537007
204	MN	4	1534273
205	TX	17	1532123
206	MI	7	1529397
207	CA	25	1524480
208	IL	9	1516082
209	FL	13	1513273
210	WA	5	1510099
211	GA	7	1500996
212	PA	9	1500823
213	NC	7	1476032
214	VA	6	1467483
215	MA	5	1466781
216	CA	26	1464673
217	CT	3	1462194
218	NM	2	1461783
219	CO	4	1456346
220	IN	5	1453798
221	TX	18	1444499
222	NY	14	1439584
223	AZ	5	1433923
224	TN	5	1425590
225	CA	27	1409383
226	FL	14	1401019
227	AL	4	1386501
228	TX	19	1366360
229	OH	9	1363360
230	NJ	7	1359027
231	CA	28	1358115
232	IL	10	1356025
233	MO	5	1344207
234	PA	10	1342377
235	SC	4	1341177
236	NY	15	1340180
237	MI	8	1324497
238	WV	2	1315088
239	LA	4	1314616
240	CA	29	1310447
241	FL	15	1304277
242	GA	8	1299901
243	TX	20	1296242
244	NE	2	1295296
245	MD	5	1294667
246	NC	8	1278281
247	WI	5	1274163
248	CA	30	1266012
249	KY	4	1255912
250	NY	16	1253624
251	IA	3	1246703
252	VA	7	1240250
253	WA	6	1232991
254	TX	21	1232973
255	IL	11	1226571
256	CA	31	1224492
257	FL	16	1220040
258	OH	10	1219426
259	MS	3	1215861
260	PA	11	1214226
261	MA	6	1197622
262	AR	3	1194628
263	MN	5	1188443
264	IN	6	1187021
265	CA	32	1185609
266	NY	17	1177574
267	NJ	8	1176952
268	TX	22	1175593
269	AZ	6	1170793
270	KS	3	1169147
271	MI	9	1168096
272	TN	6	1163989
273	CA	33	1149120
274	GA	9	1146405
275	FL	17	1146028
276	UT	3	1131160
277	CO	5	1128081
278	NC	9	1127338
279	TX	23	1123318
280	IL	12	1119701
281	CA	34	1114810
282	ID	2	1112632
283	OR	4	1110997
284	NY	18	1110228
285	PA	12	1108431
286	NV	3	1106121
287	OH	11	1103013
288	MO	6	1097541
289	OK	4	1086828
290	CA	35	1082490
291	FL	18	1080485
292	TX	24	1075495
293	VA	8	1074088
294	AL	5	1073979
295	MD	6	1057092
296	CA	36	1051991
297	NY	19	1050170
298	MI	10	1044777
299	WA	7	1042067
300	WI	6	1040350
301	SC	5	1038872
302	NJ	9	1037974
303	CT	4	1033927
304	TX	25	1031579
305	IL	13	1029975
306	GA	10	1025375
307	CA	37	1023164
308	FL	19	1022037
309	PA	13	1019608
310	LA	5	1018297
311	MA	7	1012175
312	NC	10	1008322
313	OH	12	1006908
314	IN	7	1003216
315	NY	20	996279
316	CA	38	995875
317	TX	26	991109
318	AZ	7	989501
319	TN	7	983750
320	KY	5	972825
321	MN	6	970360
322	CA	39	970004
323	FL	20	969589
324	HI	2	966517
325	TX	27	953695
326	IL	14	953571
327	NY	21	947650
328	VA	9	947256
329	CA	40	945443
330	MI	11	945036
331	PA	14	943974
332	ME	2	942626
333	NH	2	934403
334	NJ	10	928392
335	MO	7	927591
336	GA	11	927487
337	OH	13	926221
338	FL	21	922263
339	CA	41	922095
340	CO	6	921074
341	TX	28	919003
342	NC	11	912061
343	NY	22	903549
344	WA	8	902457
345	CA	42	899872
346	MD	7	893405
347	IL	15	887727
348	TX	29	886748
349	IA	4	881552
350	FL	22	879344
351	WI	7	879256
352	PA	15	878792
353	CA	43	878696
354	AL	6	876901
355	MA	8	876569
356	IN	8	868810
357	NY	23	863371
358	MI	12	862696
359	OR	5	860574
360	MS	4	859744
361	CA	44	858493
362	OH	14	857514
363	AZ	8	856933
364	TX	30	856680
365	TN	8	851953
366	SC	6	848235
367	VA	10	847252
368	GA	12	846676
369	AR	4	844730
370	NM	3	843961
371	OK	5	841853
372	FL	23	840242
373	NJ	11	839762
374	CA	45	839199
375	NC	12	832594
376	LA	6	831436
377	IL	16	830392
378	TX	31	828584
379	KS	4	826712
380	NY	24	826615
381	PA	16	822035
382	CA	46	820753
383	MN	7	820104
384	FL	24	804470
385	MO	8	803318
386	CA	47	803100
387	TX	32	802273
388	CT	5	800876
389	UT	4	799851
390	OH	15	798302
391	WA	9	795892
392	KY	6	794308
393	MI	13	793565
394	NY	25	792861
395	CA	48	786191
396	NV	4	782146
397	IL	17	780018
398	GA	13	778829
399	CO	7	778450
400	TX	33	777582
401	MD	8	773712
402	MA	9	773061
403	PA	17	772167
404	FL	25	771621
405	CA	49	769979
406	NJ	12	766595
407	VA	11	766368
408	IN	9	766219
409	NC	13	765875
410	NY	26	761756
411	WI	8	761458
412	WV	3	759266
413	AZ	9	755744
